Rank,School,EspnID
1,Auburn,2
2,Gonzaga,2250
3,Purdue,2509
4,Arizona,12
5,Kentucky,96
6,Houston,248
7,Duke,150
8,Kansas,2305
9,Texas Tech,2641
10,Baylor,239
11,Providence,2507
12,UCLA,26
13,Illinois,356
14,Wisconsin,275
15,Villanova,222
16,Ohio State,194
17,Michigan State,127
18,Marquette,269
19,Tennessee,2633
20,Texas,251
21,Southern California,30
22,Saint Mary's,2608
23,Murray State,93
24,UConn,41
25,Xavier,2752
